time,envcfg:com.sleepycat.je.util.ConsoleHandler.level,envcfg:com.sleepycat.je.util.FileHandler.level,envcfg:je.adler32.chunkSize,envcfg:je.checkpointer.bytesInterval,envcfg:je.checkpointer.deadlockRetry,envcfg:je.checkpointer.highPriority,envcfg:je.checkpointer.wakeupInterval,envcfg:je.cleaner.adjustUtilization,envcfg:je.cleaner.backgroundProactiveMigration,envcfg:je.cleaner.bytesInterval,envcfg:je.cleaner.calc.initialAdjustments,envcfg:je.cleaner.calc.maxProbeSkipFiles,envcfg:je.cleaner.calc.minProbeSkipFiles,envcfg:je.cleaner.calc.minUncountedLNs,envcfg:je.cleaner.calc.recentLNSizes,envcfg:je.cleaner.cluster,envcfg:je.cleaner.clusterAll,envcfg:je.cleaner.deadlockRetry,envcfg:je.cleaner.detailMaxMemoryPercentage,envcfg:je.cleaner.expunge,envcfg:je.cleaner.fetchObsoleteSize,envcfg:je.cleaner.forceCleanFiles,envcfg:je.cleaner.foregroundProactiveMigration,envcfg:je.cleaner.lazyMigration,envcfg:je.cleaner.lockTimeout,envcfg:je.cleaner.lookAheadCacheSize,envcfg:je.cleaner.maxBatchFiles,envcfg:je.cleaner.minAge,envcfg:je.cleaner.minFileUtilization,envcfg:je.cleaner.minFilesToDelete,envcfg:je.cleaner.minUtilization,envcfg:je.cleaner.readSize,envcfg:je.cleaner.restartRetries,envcfg:je.cleaner.retries,envcfg:je.cleaner.rmwFix,envcfg:je.cleaner.threads,envcfg:je.cleaner.trackDetail,envcfg:je.cleaner.upgradeToLogVersion,envcfg:je.compressor.deadlockRetry,envcfg:je.compressor.lockTimeout,envcfg:je.compressor.wakeupInterval,envcfg:je.deferredWrite.temp,envcfg:je.env.backgroundReadLimit,envcfg:je.env.backgroundSleepInterval,envcfg:je.env.backgroundWriteLimit,envcfg:je.env.checkLeaks,envcfg:je.env.comparatorsRequired,envcfg:je.env.dbCacheClearCount,envcfg:je.env.dbEviction,envcfg:je.env.diskOrderedScanLockTimeout,envcfg:je.env.dupConvertPreloadAll,envcfg:je.env.fairLatches,envcfg:je.env.forcedYield,envcfg:je.env.isLocking,envcfg:je.env.isReadOnly,envcfg:je.env.isTransactional,envcfg:je.env.logTrace,envcfg:je.env.recovery,envcfg:je.env.recoveryForceCheckpoint,envcfg:je.env.recoveryForceNewFile,envcfg:je.env.runCheckpointer,envcfg:je.env.runCleaner,envcfg:je.env.runEvictor,envcfg:je.env.runINCompressor,envcfg:je.env.sharedLatches,envcfg:je.env.startupThreshold,envcfg:je.env.terminateTimeout,envcfg:je.evictor.allowBinDeltas,envcfg:je.evictor.coreThreads,envcfg:je.evictor.criticalPercentage,envcfg:je.evictor.deadlockRetry,envcfg:je.evictor.evictBytes,envcfg:je.evictor.evictionBatchPercentage,envcfg:je.evictor.forcedYield,envcfg:je.evictor.keepAlive,envcfg:je.evictor.lruOnly,envcfg:je.evictor.maxThreads,envcfg:je.evictor.nodeScanPercentage,envcfg:je.evictor.nodesPerScan,envcfg:je.evictor.useMemoryFloor,envcfg:je.evictor.wakeupInterval,envcfg:je.haltOnCommitAfterChecksumException,envcfg:je.lock.nLockTables,envcfg:je.lock.oldLockExceptions,envcfg:je.lock.timeout,envcfg:je.log.bufferSize,envcfg:je.log.checksumRead,envcfg:je.log.chunkedNIO,envcfg:je.log.directNIO,envcfg:je.log.faultReadSize,envcfg:je.log.fileCacheSize,envcfg:je.log.fileMax,envcfg:je.log.fsyncTimeout,envcfg:je.log.groupCommitInterval,envcfg:je.log.groupCommitThreshold,envcfg:je.log.iteratorMaxSize,envcfg:je.log.iteratorReadSize,envcfg:je.log.memOnly,envcfg:je.log.nDataDirectories,envcfg:je.log.numBuffers,envcfg:je.log.totalBufferBytes,envcfg:je.log.useNIO,envcfg:je.log.useODSYNC,envcfg:je.log.useWriteQueue,envcfg:je.log.verifyChecksums,envcfg:je.log.writeQueueSize,envcfg:je.maxMemory,envcfg:je.maxMemoryPercent,envcfg:je.nodeDupTreeMaxEntries,envcfg:je.nodeMaxEntries,envcfg:je.sharedCache,envcfg:je.stats.collect,envcfg:je.stats.collect.interval,envcfg:je.stats.file.directory,envcfg:je.stats.file.row.count,envcfg:je.stats.max.files,envcfg:je.tree.binDelta,envcfg:je.tree.compactMaxKeyLength,envcfg:je.tree.maxDelta,envcfg:je.tree.minMemory,envcfg:je.txn.deadlockStackTrace,envcfg:je.txn.dumpLocks,envcfg:je.txn.durability,envcfg:je.txn.serializableIsolation,envcfg:je.txn.timeout,java:args,java:maxMemory,java:minMemory,java:vendor,java:version,je:version,mc:arch,mc:processors,os:name,os:version
2016-02-09 21:50:51.552 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/jdk1.7.0_60 -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/home/abcd/jisis_suite/jisis_suite:/home/abcd/jisis_suite/bin/../: -Dnetbeans.home=/home/abcd/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/abcd/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_60","5.0.103","amd64","4","Linux","4.1.15-8-default"
2016-02-09 21:51:19.835 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/jdk1.7.0_60 -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/home/abcd/jisis_suite/jisis_suite:/home/abcd/jisis_suite/bin/../: -Dnetbeans.home=/home/abcd/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/abcd/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_60","5.0.103","amd64","4","Linux","4.1.15-8-default"
2016-03-10 22:54:02.637 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/jdk1.7.0_60 -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/home/abcd/jisis_suite/jisis_suite:/home/abcd/jisis_suite/bin/../: -Dnetbeans.home=/home/abcd/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/abcd/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_60","5.0.103","amd64","4","Linux","4.1.15-8-default"
2016-03-17 01:55:33.090 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/jdk1.7.0_60 -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/home/abcd/jisis_suite/jisis_suite:/home/abcd/jisis_suite/bin/../: -Dnetbeans.home=/home/abcd/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/abcd/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_60","5.0.103","amd64","4","Linux","4.1.15-8-default"
2016-05-12 19:47:23.676 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/default -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/mnt/veracrypt1/New/JISIS/jisis_suite/jisis_suite:/mnt/veracrypt1/New/JISIS/jisis_suite/bin/../: -Dnetbeans.home=/mnt/veracrypt1/New/JISIS/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/basilio/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_51","5.0.103","amd64","4","Linux","4.1.20-11-default"
2016-06-10 03:01:42.521 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/default -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/media/veracrypt1/AmbienteNuevo/JISIS/jisis_suite/jisis_suite:/media/veracrypt1/AmbienteNuevo/JISIS/jisis_suite/bin/../: -Dnetbeans.home=/media/veracrypt1/AmbienteNuevo/JISIS/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/basilio/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_51","5.0.103","amd64","4","Linux","4.1.21-14-default"
2016-06-14 13:44:38.582 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/default -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/media/veracrypt1/newEnviroment/JISIS/jisis_suite/jisis_suite:/media/veracrypt1/newEnviroment/JISIS/jisis_suite/bin/../: -Dnetbeans.home=/media/veracrypt1/newEnviroment/JISIS/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/basilio/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_51","5.0.103","amd64","4","Linux","4.1.21-14-default"
2016-06-15 04:13:00.808 UTC,"OFF","INFO","0","20000000","3","false","0","true","false","0","5","20","5","1000","10","false","false","3","2","true","false","","false","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","0","3","500 ms","5 s","false","0","1 ms","0","true","false","100","true","10 seconds","true","false","false","true","false","true","true","true","false","false","true","true","true","true","true","5 min","10 s","true","1","0","3","524288","10","false","10 min","true","10","10","10","95","5 s","false","1","false","500 ms","1048576","true","0","false","2048","100","250000000","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","80","128","128","false","true","1 min","","1440","10","25","16","10","512000","false","false","null","false","0"," -Djdk.home=/usr/java/default -Dnetbeans.running.environment=kde -Dnetbeans.dirs=/media/veracrypt1/newEnviroment/JISIS/jisis_suite/jisis_suite:/media/veracrypt1/newEnviroment/JISIS/jisis_suite/bin/../: -Dnetbeans.home=/media/veracrypt1/newEnviroment/JISIS/jisis_suite/platform -Xms256m -Xmx512m -Dlogback.configurationFile=etc/logback.xml -Dnetbeans.logger.console=true -Dnetbeans.slow.system.clipboard.hack=false -ea -Duser.language=en -Duser.country=EN -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/basilio/.jisis_suite/dev/var/log/heapdump.hprof","477102080","268435456","Oracle Corporation","1.7.0_51","5.0.103","amd64","4","Linux","4.1.21-14-default"
